Source page: http://data1.cde.ca.gov/dataquest/2000Base_Co.asp?cYear=&cSelect=38,SAN,FRANCISCO,,,,,,,,
link,link/_text,link/_title,content,value_1,value_2,value_3,value_4,value_5,value_6,value_7
,,,,STAR,Students,,2000,2000,2000-,
,,,,2000,Included,2000,State-,Similar,2001,2001
,,,Click on column header link to view notes.,Percent,in the,API,wide,Schools,Growth,API
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041065&DistCode=68478&AllCds=38684786041065,Peabody (George) Elementary,,Peabody (George) Elementary,95,158,755,8,7,2,757
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041511&DistCode=68478&AllCds=38684786041511,Redding Elementary,,Redding Elementary,79,170,700,6,9,5,705
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041487&DistCode=68478&AllCds=38684786041487,Revere (Paul) Elementary,,Revere (Paul) Elementary,87,258,524,2,1,14,538
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6089775&DistCode=68478&AllCds=38684786089775,Rooftop Elementary,,Rooftop Elementary,98,426,808,9,4,#,#
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6093488&DistCode=68478&AllCds=38684786093488,San Francisco Community Alternative,,San Francisco Community Alternative,95,177,727,7,9,4,731
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041545&DistCode=68478&AllCds=38684786041545,Sanchez Elementary,,Sanchez Elementary,85,175,509,2,2,15,524
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041289&DistCode=68478&AllCds=38684786041289,Serra (Junipero) Elementary,,Serra (Junipero) Elementary,87,144,615,4,6,9,624
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041560&DistCode=68478&AllCds=38684786041560,Sheridan Elementary,,Sheridan Elementary,86,184,643,5,7,8,651
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041578&DistCode=68478&AllCds=38684786041578,Sherman Elementary,,Sherman Elementary,93,232,778,8,9,1,779
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041594&DistCode=68478&AllCds=38684786041594,Spring Valley Elementary,,Spring Valley Elementary,84,237,733,7,10,3,736
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041602&DistCode=68478&AllCds=38684786041602,Starr King Elementary,,Starr King Elementary,83,145,459,1,1,17,476
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041529&DistCode=68478&AllCds=38684786041529,Stevenson (Robert Louis) Elementary,,Stevenson (Robert Louis) Elementary,88,250,803,9,10,#,#
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041610&DistCode=68478&AllCds=38684786041610,Sunnyside Elementary,,Sunnyside Elementary,94,186,660,5,4,7,667
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6113997&DistCode=68478&AllCds=38684786113997,Sunset Elementary,,Sunset Elementary,82,121,798,8,8,1,799
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041644&DistCode=68478&AllCds=38684786041644,Sutro Elementary,,Sutro Elementary,85,150,777,8,9,1,778
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041263&DistCode=68478&AllCds=38684786041263,Swett (John) Elementary,,Swett (John) Elementary,87,183,552,3,1,12,564
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6040943&DistCode=68478&AllCds=38684786040943,Taylor (Edward R.) Elementary,,Taylor (Edward R.) Elementary,87,371,719,7,10,4,723
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041669&DistCode=68478&AllCds=38684786041669,Treasure Island Elementary,,Treasure Island Elementary,90,258,649,5,7,8,657
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041032&DistCode=68478&AllCds=38684786041032,Twenty-First Century Academy (Elem),,Twenty-First Century Academy (Elem),76,177,602,4,3,10,612
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041685&DistCode=68478&AllCds=38684786041685,Ulloa Elementary,,Ulloa Elementary,89,253,809,9,10,#,#
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041701&DistCode=68478&AllCds=38684786041701,Visitacion Valley Elementary,,Visitacion Valley Elementary,85,239,676,6,8,6,682
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6040893&DistCode=68478&AllCds=38684786040893,Webster (Daniel) Elementary,,Webster (Daniel) Elementary,92,252,613,4,7,9,622
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041727&DistCode=68478&AllCds=38684786041727,West Portal Elementary,,West Portal Elementary,91,307,820,9,7,#,#
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6040927&DistCode=68478&AllCds=38684786040927,William de Avila Elementary,,William de Avila Elementary,96,181,648,5,5,8,656
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6041131&DistCode=68478&AllCds=38684786041131,Yick Wo Elementary,,Yick Wo Elementary,91,131,781,8,9,1,782
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6113245&DistCode=68478&AllCds=38684786113245,Yu (Alice Fong) Elementary,,Yu (Alice Fong) Elementary,100,233,789,8,1,1,790
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6059828&DistCode=68478&AllCds=38684786059828,A. P. Giannini Middle,,A. P. Giannini Middle,93,1094,796,9,9,1,797
