Source page: http://data1.cde.ca.gov/dataquest/2002Base_Co.asp?cYear=&cSelect=38,SAN,FRANCISCO,
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041560&DistCode=10389&AllCds=38103896041560,Sheridan Elementary,,Sheridan Elementary 205 642 4 2 8 650
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041578&DistCode=10389&AllCds=38103896041578,Sherman Elementary,,Sherman Elementary 233 795 8 10 1 796
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041594&DistCode=10389&AllCds=38103896041594,Spring Valley Elementary,,Spring Valley Elementary 237 709 6 10 5 714
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041602&DistCode=10389&AllCds=38103896041602,Starr King Elementary,,Starr King Elementary 163 560 1 3 12 572
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041529&DistCode=10389&AllCds=38103896041529,Stevenson Elementary,,Stevenson Elementary 302 813 9 8 A A
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041610&DistCode=10389&AllCds=38103896041610,Sunnyside Elementary,,Sunnyside Elementary 175 710 6 3 5 715
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6113997&DistCode=10389&AllCds=38103896113997,Sunset Elementary,,Sunset Elementary 189 751 7 1 2 753
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041644&DistCode=10389&AllCds=38103896041644,Sutro Elementary,,Sutro Elementary 168 781 8 7 1 782
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041263&DistCode=10389&AllCds=38103896041263,Swett (John) Elementary,,Swett (John) Elementary 186 572 2 1 11 583
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6040943&DistCode=10389&AllCds=38103896040943,Taylor Elementary,,Taylor Elementary 456 737 7 9 3 740
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6115901&DistCode=10389&AllCds=38103896115901,Tenderloin Community,,Tenderloin Community 170 652 4 3 7 659
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041669&DistCode=10389&AllCds=38103896041669,Treasure Island Elementary,,Treasure Island Elementary 416 611 3 1 9 620
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041032&DistCode=10389&AllCds=38103896041032,Twenty-First Century Elem,,Twenty-First Century Elem 262 546 1 1 13 559
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041685&DistCode=10389&AllCds=38103896041685,Ulloa Elementary,,Ulloa Elementary 332 831 9 10 A A
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041701&DistCode=10389&AllCds=38103896041701,Visitacion Valley Elementary,,Visitacion Valley Elementary 289 689 5 6 6 695
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6040893&DistCode=10389&AllCds=38103896040893,Webster (Daniel) Elem.,,Webster (Daniel) Elem. 264 612 3 2 9 621
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041727&DistCode=10389&AllCds=38103896041727,West Portal Elementary,,West Portal Elementary 369 857 10 9 A A
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6040927&DistCode=10389&AllCds=38103896040927,William de Avila Elementary,,William de Avila Elementary 188 666 4 1 7 673
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6041131&DistCode=10389&AllCds=38103896041131,Yick Wo Elementary,,Yick Wo Elementary 154 792 8 10 1 793
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6113245&DistCode=10389&AllCds=38103896113245,Yu (Alice Fong) Elementar,,Yu (Alice Fong) Elementar 318 856 10 4 A A
,,,Middle Schools
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6059828&DistCode=10389&AllCds=38103896059828,A. P. Giannini Middle,,A. P. Giannini Middle 1236 766 8 4 2 768
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6062020&DistCode=10389&AllCds=38103896062020,Aptos Middle,,Aptos Middle 786 666 6 7 7 673
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6059836&DistCode=10389&AllCds=38103896059836,Benjamin Franklin Middle,,Benjamin Franklin Middle 382 484 1 1 16 500
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6113237&DistCode=10389&AllCds=38103896113237,Davis (Gloria R.) Middle,,Davis (Gloria R.) Middle 220 437 1 1 18 455
