Source page: http://data1.cde.ca.gov/dataquest/API2005/2004Base_Co.aspx?cYear=&cSelect=38,SAN,FRANCISCO,
links,links/_text,links/_title,content
,,,Ranks Ranks Targets Targets
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041503,Parks (Rosa) Elementary,,Parks (Rosa) Elementary 165 686 4 4 6 692
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041065,Peabody (George) Elementary,,Peabody (George) Elementary 134 753 6 3 2 755
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041511,Redding Elementary,,Redding Elementary 220 742 6 7 3 745
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041487,Revere (Paul) Elementary,,Revere (Paul) Elementary 257 607 1 2 10 617
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786089775,Rooftop Elementary,,Rooftop Elementary 443 826 9 6 A A
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786093488,San Francisco Community Alternativ,,San Francisco Community Alternativ 230 749 6 7 3 752
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041545,Sanchez Elementary,,Sanchez Elementary 185 627 2 4 9 636
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041289,Serra (Junipero) Elementary,,Serra (Junipero) Elementary 179 661 3 3 7 668
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041560,Sheridan Elementary,,Sheridan Elementary 148 710 5 6 5 715
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041578,Sherman Elementary,,Sherman Elementary 228 820 8 10 A A
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041594,Spring Valley Elementary,,Spring Valley Elementary 226 781 7 10 1 782
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041602,Starr King Elementary,,Starr King Elementary 117 678 3 9 6 684
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041529,Stevenson (Robert Louis) Elementar,,Stevenson (Robert Louis) Elementar 342 837 9 8 A A
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041610,Sunnyside Elementary,,Sunnyside Elementary 165 728 5 3 4 732
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786113997,Sunset Elementary,,Sunset Elementary 218 751 6 3 2 753
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041644,Sutro Elementary,,Sutro Elementary 167 796 8 8 1 797
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041263,Swett (John) Elementary,,Swett (John) Elementary 173 638 2 1 8 646
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786040943,Taylor (Edward R.) Elementary,,Taylor (Edward R.) Elementary 438 759 7 8 2 761
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786115901,Tenderloin Community,,Tenderloin Community 233 691 4 4 5 696
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041669,Treasure Island Elementary,,Treasure Island Elementary 299 649 2 2 8 657
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041032,Twenty-First Century Academy (Elem,,Twenty-First Century Academy (Elem 195 538 1 1 13 551
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041685,Ulloa Elementary,,Ulloa Elementary 348 848 9 10 A A
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041701,Visitacion Valley Elementary,,Visitacion Valley Elementary 273 730 5 7 4 734
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786040893,Webster (Daniel) Elementary,,Webster (Daniel) Elementary 228 633 2 2 8 641
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041727,West Portal Elementary,,West Portal Elementary 370 853 9 5 A A
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786040927,William de Avila Elementary,,William de Avila Elementary 142 624 2 1 9 633
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041131,Yick Wo Elementary,,Yick Wo Elementary 166 842 9 8 A A
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786113245,Yu (Alice Fong) Elementary,,Yu (Alice Fong) Elementary 365 886 10 6 A A
,,,Middle Schools
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786059828,A. P. Giannini Middle,,"A. P. Giannini Middle 1,299 809 9 8 A A"
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786062020,Aptos Middle,,Aptos Middle 848 731 7 8 3 734
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786059836,Benjamin Franklin Middle,,Benjamin Franklin Middle 275 555 1 1 12 567
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786113237,Davis (Gloria R.) Middle,,Davis (Gloria R.) Middle 168 517 1 1 14 531
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786072052,Enola D. Maxwell Middle,,Enola D. Maxwell Middle 210 540 1 1 13 553
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786062038,Everett Middle,,Everett Middle 509 586 2 2 11 597
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786059844,Francisco Middle,,Francisco Middle 502 659 4 2 7 666
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786059851,Herbert Hoover Middle,,"Herbert Hoover Middle 1,210 819 9 7 A A"
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786062046,Horace Mann Middle,,Horace Mann Middle 617 606 2 2 10 616
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786059869,James Denman Middle,,James Denman Middle 667 687 5 8 6 693
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786062053,James Lick Middle,,James Lick Middle 505 573 1 1 11 584
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786059885,King (Martin Luther Jr) Academic M,,King (Martin Luther Jr) Academic M 505 696 5 7 5 701
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786059877,Luther Burbank Middle,,Luther Burbank Middle 395 587 2 1 11 598
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786062061,Marina Middle,,"Marina Middle 1,031 734 7 7 3 737"
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786062079,Presidio Middle,,"Presidio Middle 1,166 853 10 10 A A"
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786059901,Roosevelt Middle,,Roosevelt Middle 763 759 8 9 2 761
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786059919,Visitacion Valley Middle,,Visitacion Valley Middle 480 641 3 3 8 649
,,,High Schools
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684783833241,Abraham Lincoln High,,"Abraham Lincoln High 1,919 778 9 9 1 779"
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684783830288,Balboa High,,Balboa High 587 565 2 2 12 577
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684783830254,Burton (Phillip & Sala) Academic H,,"Burton (Phillip & Sala) Academic H 1,284 655 5 8 7 662"
