Source page: http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgcty.aspx?allcds=38,,,,,,,,
countylistof_link,countylistof_link/_text,countylistof_link/_title,countylistof_content,cdscode_number,schoollevele_value,2013growth_number,nonweighted_number,weightedyear_number
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041594,Spring Valley Elementary,,Spring Valley Elementary,38; 68478; 6041594,E,844,836,836
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041529,Stevenson (Robert Louis) Elementary,,Stevenson (Robert Louis) Elementary,38; 68478; 6041529,E,934,930,930
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041610,Sunnyside Elementary,,Sunnyside Elementary,38; 68478; 6041610,E,863,831,833
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786113997,Sunset Elementary,,Sunset Elementary,38; 68478; 6113997,E,925,919,920
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041644,Sutro Elementary,,Sutro Elementary,38; 68478; 6041644,E,906,883,883
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786040943,Taylor (Edward R.) Elementary,,Taylor (Edward R.) Elementary,38; 68478; 6040943,E,873,879,879
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786115901,Tenderloin Community,,Tenderloin Community,38; 68478; 6115901,E,709,729,729
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041685,Ulloa Elementary,,Ulloa Elementary,38; 68478; 6041685,E,932,935,935
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041701,Visitacion Valley Elementary,,Visitacion Valley Elementary,38; 68478; 6041701,E,801,796,796
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786040893,Webster (Daniel) Elementary,,Webster (Daniel) Elementary,38; 68478; 6040893,E,754,709,712
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041727,West Portal Elementary,,West Portal Elementary,38; 68478; 6041727,E,914,907,907
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041131,Yick Wo Elementary,,Yick Wo Elementary,38; 68478; 6041131,E,908,910,910
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786113245,Yu (Alice Fong) Elementary,,Yu (Alice Fong) Elementary,38; 68478; 6113245,E,955,955,955
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786062020,Aptos Middle,,Aptos Middle,38; 68478; 6062020,M,818,823,823
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786041032,"Brown, Jr., (Willie L.) Elementary",,"Brown, Jr., (Willie L.) Elementary",38; 68478; 6041032,M,,,
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786059869,Denman (James) Middle,,Denman (James) Middle,38; 68478; 6059869,M,732,729,729
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786062038,Everett Middle,,Everett Middle,38; 68478; 6062038,M,728,686,689
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786059844,Francisco Middle,,Francisco Middle,38; 68478; 6059844,M,732,720,720
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786059828,Giannini (A.P.) Middle,,Giannini (A.P.) Middle,38; 68478; 6059828,M,883,881,881
