Source page: http://data1.cde.ca.gov/dataquest/Acnt2013/2012Base_Co.aspx?cYear=&cSelect=38,SAN,FRANCISCO,,,,,,,,,,,
col_link,col_link/_text,col_link/_title,links,links/_text,links/_title,col_content,col_number_1,col_number_2,ranks_value_1,ranks_value_2,targets_value_1,targets_value_2,links_numbers
,,,http://www.cde.ca.gov/ta/ac/ap/glossary13b.asp#ga2; http://www.cde.ca.gov/ta/ac/ap/glossary13b.asp#ga3; http://www.cde.ca.gov/ta/ac/ap/glossary13b.asp#ga4; http://www.cde.ca.gov/ta/ac/ap/glossary13b.asp#ga5; http://www.cde.ca.gov/ta/ac/ap/glossary13b.asp#ga6; http://www.cde.ca.gov/ta/ac/ap/glossary13b.asp#ga7,Number of Students Included in the 2012 API; 2012 Base API; 2012 Statewide Rank; 2012 Similar Schools Rank; 2012 -13 Growth Target; 2013 API Target,,,,,,,,,2012; 2012; 2012; 2012; 2012; -13; 2013
http://data1.cde.ca.gov/dataquest/Acnt2013/2012Base_DstAPI.aspx?cYear=2012-13&allcds=3810389&cChoice=2012BApiD,San Francisco County Office of,,,,,San Francisco County Office of,159,404,B,B,B,B,
,,,,,,Small Schools,,,,,,,
http://data1.cde.ca.gov/dataquest/Acnt2013/Flag12BaseSch.aspx?flag=6&allcds=38103896069561,S.F. County Special Education,,,,,S.F. County Special Education,,,,,,,
,,,,,,ASAM Schools,,,,,,,
http://data1.cde.ca.gov/dataquest/Acnt2013/Flag12BaseSch.aspx?flag=4&allcds=38684786089569,Chinese Education Center,,,,,Chinese Education Center,,,,,,
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684780120386,Chinese Immersion School at DeAvila,,,,,Chinese Immersion School at DeAvila,83,951,10 *,,A,A
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684783830197,Independence High,,,,,Independence High,44,565,1 *,,12,577
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786041586,Malcolm X Academy,,,,,Malcolm X Academy,55,725,1 *,,5,730
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684780109769,Metropolitan Arts & Technology High,,,,,Metropolitan Arts & Technology High,91,647,1 *,,8,655
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684786089585,Mission Education Center,,,,,Mission Education Center,15,489,1 *,,16,505
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684780123117,San Francisco Public Montessori,,,,,San Francisco Public Montessori,18,808,5 *,,A,A
,,,,,,ASAM Schools,,,,,,
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684783830064,Downtown High,,,,,Downtown High,53,458,B,B,17,475
http://data1.cde.ca.gov/dataquest/Acnt2013/Flag12BaseSch.aspx?flag=6&allcds=38684780101774,Five Keys Charter (SF Sheriff's),,,,,Five Keys Charter (SF Sheriff's),,,,,,
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684783830429,Life Learning Academy Charter,,,,,Life Learning Academy Charter,17,573,B,B,11,584
http://data1.cde.ca.gov/dataquest/Acnt2013/2012BaseSch.aspx?cYear=2012-13&allcds=38684783830031,Wells (Ida B.) High,,,,,Wells (Ida B.) High,88,450,B,B,18,468
,,,,,,Mission Preparatory,,,,,,
http://data1.cde.ca.gov/dataquest/Acnt2013/2012Base_DstAPI.aspx?cYear=2012-13&allcds=3876703&cChoice=2012BApiD,San Francisco Flex Academy,,,,,San Francisco Flex Academy,110,648,1,1,8,656
